183	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '449']

184	['2007.03', 'Insurance corporations', '251', 'Closing balance net worth', 'LE00000', 'B900000', '-923']

185	['2007.03', 'Insurance corporations', '251', 'Closing balance total liabilities and net worth', 'LE00000', 'L000000', '21314']

186	['2007.03', 'Pension funds', '261', 'Closing balance total assets', 'LE00000', 'A000000', '31919']

187	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '31813']

188	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

189	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', '862']

190	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', '1829']

191	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', '0']

192	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '19832']

193	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '9290']

194	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '0']

195	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '0']

196	['2007.03', 'Pension funds', '261', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '31919']

197	['2007.03', 'Pension funds', '261', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']

198	['2007.03', 'Pension funds', '261', 'Financial liabilities Closing balance currency and deposits', 'LE00000', 'AFL0200', '0']

199	['2007.03', 'Pension funds', '261', 'Financial liabilities Closing balance debt securities', 'LE00000', 'AFL0300', '0']

